Text,WhoSaid,Context,SourceType,SourceKey
"We had heard so much about South Africa, about the troubles there, but we had also heard a lot about Sun City, and we wanted to go and see it all for ourselves.",Brian May,Explaining Queen's controversial decision to play Sun City in 1984,AsItBeganBook,we-had-heard-so-much-about-south-africa-about-the-troubles-brian-may
"It was quite amazing. The whole atmosphere, the warmth, the great friendliness of the people. You could feel it, it was almost a tangible thing. It was a night I will never forget. I promised those people that one day, Queen would go back to Soweto and play the stadium for them.",Brian May,On presenting awards in Soweto during the 1984 South Africa tour,AsItBeganBook,it-was-quite-amazing-the-whole-atmosphere-the-warmth-the-brian-may
"I told them we believed that we achieved more in the fight against apartheid by going, and insisting on mixed audiences, than by staying away; that we had been able and willing to have our anti-apartheid views printed in the South African press [unusual at that time]... Finally, I upheld our belief that music should transcend all barriers, unfettered by race or politics.",Brian May,Defending Queen's Sun City visit to the Musicians' Union General Committee,AsItBeganBook,i-told-them-we-believed-that-we-achieved-more-in-the-fight-a-brian-may
Not another band who want to close the show.,Harvey Goldsmith,"Live Aid promoter, reacting to Jim Beach's request to discuss Queen's time slot, expecting another headline demand",AsItBeganBook,not-another-band-who-want-to-close-the-show-harvey-goldsmith
"I did try and point out it wasn't one of his better ideas. Especially as he wouldn't have a clue what a pound coin looked like, so how on earth was he going to make sure the people paid the right price and were given the correct change?",Joe Fanelli,"Freddie's personal assistant, on Freddie's impulsive plan to sell ice creams at the Time musical",AsItBeganBook,i-did-try-and-point-out-it-wasn-t-one-of-his-better-ideas-e-joe-fanelli
"I bought the whole lot, so I wouldn't have to charge anyone anything.",Freddie Mercury,Explaining his solution to not knowing how to make change while selling ice creams,AsItBeganBook,i-bought-the-whole-lot-so-i-wouldn-t-have-to-charge-anyone-freddie-mercury
"He was hurling ice lollies and tubs and Cornettos all over the place. They were landing in people's laps, on their heads, it was chaos. Some people even threw them back!",Joe Fanelli,On Freddie's ice-cream-throwing antics at the Dominion Theatre,AsItBeganBook,he-was-hurling-ice-lollies-and-tubs-and-cornettos-all-over-t-joe-fanelli
All the bands involved have paid a lot of attention to their stagecraft and the delivery to the audience. They were all really good.,Roger Taylor,"Judging the Rock School talent competition, 1986",AsItBeganBook,all-the-bands-involved-have-paid-a-lot-of-attention-to-their-roger-taylor
"I've got a couple of things here dear, would you like to hear them or not?",Freddie Mercury,"Playing early song ideas for Montserrat Caballe at their first meeting in Barcelona, 1987",AsItBeganBook,i-ve-got-a-couple-of-things-here-dear-would-you-like-to-hea-freddie-mercury
"Oh, why not dear?",Freddie Mercury,"Agreeing, with feigned nonchalance, to record a full album with Montserrat Caballe after she suggested it",AsItBeganBook,oh-why-not-dear-freddie-mercury
"I've done it. I have captured her voice, on my tape.",Freddie Mercury,After completing the first finished track for the Barcelona album with Montserrat Caballe,AsItBeganBook,i-ve-done-it-i-have-captured-her-voice-on-my-tape-freddie-mercury
What else is there left for me to do?,Freddie Mercury,On completing the Barcelona album exactly as he had envisioned it,AsItBeganBook,what-else-is-there-left-for-me-to-do-freddie-mercury
Shopping with Freddie is like hitting yourself on the head repeatedly with an ice pick. It feels so good when you stop.,Joe Fanelli,"Freddie's personal assistant, on a shopping trip in Japan",AsItBeganBook,shopping-with-freddie-is-like-hitting-yourself-on-the-head-r-joe-fanelli
Queen couldn't even get arrested in the States right now.,Brian May,On the band's diminished popularity in America by 1986,AsItBeganBook,queen-couldn-t-even-get-arrested-in-the-states-right-now-brian-may
A highlight for me was working with Joe Cocker. His presence seemed to infuse the 'scratch band' with an amazing energy. And I was able to play alongside Clapton in 'A Little Help From My Friends'. A thrill!,Brian May,"On performing at the Prince's Trust Gala Concert, 1988",AsItBeganBook,a-highlight-for-me-was-working-with-joe-cocker-his-presence-brian-may
Better by about seven light years than Jason Donovan.,Roger Taylor,Comparing 'Breakthru' favourably to contemporary pop chart rivals,AsItBeganBook,better-by-about-seven-light-years-than-jason-donovan-roger-taylor
I don't want to tour any more. I really don't.,Freddie Mercury,"In a rare full-band TV interview, on his changed feelings about touring, May 1989",AsItBeganBook,i-don-t-want-to-tour-any-more-i-really-don-t-freddie-mercury
"It brought back some great memories. I had seen them perform this song many times with Ariel Bender while we were on tour with them. I particularly remember the night they played it in Memphis. It was a really great feeling, doing it with them after so much had happened to all of us.",Brian May,"On sitting in with Ian Hunter and Mick Ronson at Hammersmith Odeon, early 1990",AsItBeganBook,it-brought-back-some-great-memories-i-had-seen-them-perform-brian-may
